1, intrinsics, 0, 0.35, 0.35, 712.008, 715.409
1, intrinsics, 0, 0.39, 0.35, 749.128, 716.536
1, intrinsics, 0, 0.39, 0.39, 749.695, 680.257
1, intrinsics, 0, 0.35, 0.39, 712.75, 679.191
1, intrinsics, 0, 0, 0.35, 356.838, 702.268
1, intrinsics, 0, 0.04, 0.35, 394.024, 703.988
1, intrinsics, 0, 0.04, 0.39, 397.644, 666.701
1, intrinsics, 0, 0, 0.39, 360.56, 665.019
1, intrinsics, 0, 0.2, 0.3, 556.47, 761.525
1, intrinsics, 0, 0.24, 0.3, 594.207, 762.898
1, intrinsics, 0, 0.24, 0.34, 595.846, 725.747
1, intrinsics, 0, 0.2, 0.34, 558.284, 724.338
1, intrinsics, 0, 0.2, 0.35, 558.866, 711.116
1, intrinsics, 0, 0.24, 0.35, 596.42, 712.576
1, intrinsics, 0, 0.24, 0.39, 598.375, 675.665
1, intrinsics, 0, 0.2, 0.39, 560.895, 674.187
1, intrinsics, 0, 0, 0.3, 352.038, 752.952
1, intrinsics, 0, 0.04, 0.3, 389.637, 754.705
1, intrinsics, 0, 0.04, 0.34, 392.912, 716.959
1, intrinsics, 0, 0, 0.34, 355.722, 715.016
1, intrinsics, 0, 0.5, 0.3, 861.859, 767.37
1, intrinsics, 0, 0.54, 0.3, 897.666, 767.563
1, intrinsics, 0, 0.54, 0.34, 896.862, 731.59
1, intrinsics, 0, 0.5, 0.34, 861.345, 731.421
1, intrinsics, 0, 0, 0.25, 348.039, 804.64
1, intrinsics, 0, 0.04, 0.25, 385.66, 806.521
1, intrinsics, 0, 0.04, 0.29, 388.621, 767.989
1, intrinsics, 0, 0, 0.29, 350.976, 766.142
1, intrinsics, 0, 0, 0.2, 344.205, 857.214
1, intrinsics, 0, 0.04, 0.2, 382.2, 858.939
1, intrinsics, 0, 0.04, 0.24, 384.748, 820.076
1, intrinsics, 0, 0, 0.24, 346.96, 818.196
1, intrinsics, 0, 0, 0.15, 341.055, 910.325
1, intrinsics, 0, 0.04, 0.15, 379.066, 912.057
